2023-05-27 22:25:39 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：1
     exploration_max: 1.0
     exploration_min: 0.02
     exploration_decay: 0.999999
     lr: 0.00025
     batch size: 32
     max_memory_size: 100000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp11
     test_model_dir: runs/exp3
     desc: 
     render_mode: 3

2023-05-27 23:00:10 - INFO - Episode 74, total score=655, average score=590.59, exploration_rate=0.9776, 每步耗时：0.0001, 训练耗时：0.0796
2023-05-27 23:00:40 - INFO - Episode 75, total score=737, average score=592.55, exploration_rate=0.9773, 每步耗时：0.0001, 训练耗时：0.0801
2023-05-27 23:01:42 - INFO - Episode 76, total score=924, average score=596.91, exploration_rate=0.9766, 每步耗时：0.0001, 训练耗时：0.0797
2023-05-27 23:04:22 - INFO - Episode 77, total score=378, average score=594.06, exploration_rate=0.9748, 每步耗时：0.0001, 训练耗时：0.0791
2023-05-27 23:04:39 - INFO - Episode 78, total score=630, average score=594.53, exploration_rate=0.9747, 每步耗时：0.0001, 训练耗时：0.0798
2023-05-27 23:05:08 - INFO - Episode 79, total score=779, average score=596.86, exploration_rate=0.9743, 每步耗时：0.0001, 训练耗时：0.0793
2023-05-27 23:05:54 - INFO - Episode 80, total score=742, average score=598.67, exploration_rate=0.9738, 每步耗时：0.0001, 训练耗时：0.0807
2023-05-27 23:05:58 - INFO - Episode 81, total score=226, average score=594.07, exploration_rate=0.9738, 每步耗时：0.0000, 训练耗时：0.0786
2023-05-27 23:06:15 - INFO - Episode 82, total score=806, average score=596.66, exploration_rate=0.9736, 每步耗时：0.0001, 训练耗时：0.0792
2023-05-27 23:06:19 - INFO - Episode 83, total score=215, average score=592.06, exploration_rate=0.9736, 每步耗时：0.0001, 训练耗时：0.0788
2023-05-27 23:06:26 - INFO - Episode 84, total score=184, average score=587.20, exploration_rate=0.9735, 每步耗时：0.0001, 训练耗时：0.0792
2023-05-27 23:08:17 - INFO - Episode 85, total score=834, average score=590.11, exploration_rate=0.9723, 每步耗时：0.0001, 训练耗时：0.0793
2023-05-27 23:09:43 - INFO - Episode 86, total score=652, average score=590.83, exploration_rate=0.9714, 每步耗时：0.0001, 训练耗时：0.0801
2023-05-27 23:09:48 - INFO - Episode 87, total score=227, average score=586.64, exploration_rate=0.9713, 每步耗时：0.0001, 训练耗时：0.0813
2023-05-27 23:09:52 - INFO - Episode 88, total score=223, average score=582.51, exploration_rate=0.9713, 每步耗时：0.0000, 训练耗时：0.0800
2023-05-27 23:10:17 - INFO - Episode 89, total score=1013, average score=587.35, exploration_rate=0.9710, 每步耗时：0.0001, 训练耗时：0.0800
2023-05-27 23:10:36 - INFO - Episode 90, total score=612, average score=587.62, exploration_rate=0.9708, 每步耗时：0.0001, 训练耗时：0.0802
2023-05-27 23:11:06 - INFO - Episode 91, total score=1308, average score=595.54, exploration_rate=0.9705, 每步耗时：0.0001, 训练耗时：0.0796
2023-05-27 23:11:09 - INFO - Episode 92, total score=225, average score=591.51, exploration_rate=0.9704, 每步耗时：0.0001, 训练耗时：0.0793
2023-05-27 23:11:13 - INFO - Episode 93, total score=222, average score=587.54, exploration_rate=0.9704, 每步耗时：0.0001, 训练耗时：0.0795
2023-05-27 23:11:18 - INFO - Episode 94, total score=221, average score=583.64, exploration_rate=0.9703, 每步耗时：0.0001, 训练耗时：0.0794
2023-05-27 23:11:41 - INFO - Episode 95, total score=619, average score=584.01, exploration_rate=0.9701, 每步耗时：0.0001, 训练耗时：0.0795
2023-05-27 23:12:09 - INFO - Episode 96, total score=736, average score=585.59, exploration_rate=0.9698, 每步耗时：0.0001, 训练耗时：0.0801
2023-05-27 23:12:12 - INFO - Episode 97, total score=239, average score=582.02, exploration_rate=0.9698, 每步耗时：0.0000, 训练耗时：0.0796
2023-05-27 23:13:32 - INFO - Episode 98, total score=1286, average score=589.20, exploration_rate=0.9689, 每步耗时：0.0001, 训练耗时：0.0806
2023-05-27 23:13:35 - INFO - Episode 99, total score=240, average score=585.68, exploration_rate=0.9689, 每步耗时：0.0001, 训练耗时：0.0789
2023-05-27 23:13:41 - INFO - Episode 100, total score=231, average score=582.13, exploration_rate=0.9688, 每步耗时：0.0001, 训练耗时：0.0793
2023-05-27 23:13:44 - INFO - Episode 101, total score=243, average score=578.77, exploration_rate=0.9688, 每步耗时：0.0000, 训练耗时：0.0795
2023-05-27 23:13:50 - INFO - Episode 102, total score=239, average score=575.44, exploration_rate=0.9687, 每步耗时：0.0001, 训练耗时：0.0795
2023-05-27 23:13:59 - INFO - Episode 103, total score=603, average score=575.71, exploration_rate=0.9686, 每步耗时：0.0001, 训练耗时：0.0797
2023-05-27 23:14:21 - INFO - Episode 104, total score=596, average score=575.90, exploration_rate=0.9684, 每步耗时：0.0001, 训练耗时：0.0799
2023-05-27 23:14:29 - INFO - Episode 105, total score=613, average score=576.26, exploration_rate=0.9683, 每步耗时：0.0001, 训练耗时：0.0796
2023-05-27 23:16:16 - INFO - Episode 106, total score=826, average score=578.61, exploration_rate=0.9672, 每步耗时：0.0001, 训练耗时：0.0797
2023-05-27 23:16:36 - INFO - Episode 107, total score=697, average score=579.72, exploration_rate=0.9669, 每步耗时：0.0001, 训练耗时：0.0801
2023-05-27 23:17:20 - INFO - Episode 108, total score=743, average score=581.23, exploration_rate=0.9665, 每步耗时：0.0001, 训练耗时：0.0795
2023-05-27 23:17:24 - INFO - Episode 109, total score=250, average score=578.19, exploration_rate=0.9664, 每步耗时：0.0001, 训练耗时：0.0798
2023-05-27 23:17:40 - INFO - Episode 110, total score=744, average score=579.70, exploration_rate=0.9663, 每步耗时：0.0001, 训练耗时：0.0793
2023-05-27 23:17:45 - INFO - Episode 111, total score=226, average score=576.51, exploration_rate=0.9662, 每步耗时：0.0001, 训练耗时：0.0803
2023-05-27 23:18:04 - INFO - Episode 112, total score=801, average score=578.52, exploration_rate=0.9660, 每步耗时：0.0001, 训练耗时：0.0802
2023-05-27 23:18:08 - INFO - Episode 113, total score=225, average score=575.39, exploration_rate=0.9660, 每步耗时：0.0001, 训练耗时：0.0809
2023-05-27 23:18:35 - INFO - Episode 114, total score=607, average score=575.67, exploration_rate=0.9657, 每步耗时：0.0001, 训练耗时：0.0801
2023-05-27 23:18:39 - INFO - Episode 115, total score=235, average score=572.70, exploration_rate=0.9656, 每步耗时：0.0001, 训练耗时：0.0808
2023-05-27 23:18:44 - INFO - Episode 116, total score=223, average score=569.69, exploration_rate=0.9656, 每步耗时：0.0000, 训练耗时：0.0813
2023-05-27 23:20:48 - INFO - Episode 117, total score=501, average score=569.10, exploration_rate=0.9643, 每步耗时：0.0001, 训练耗时：0.0812
2023-05-27 23:21:51 - INFO - Episode 118, total score=700, average score=570.21, exploration_rate=0.9636, 每步耗时：0.0001, 训练耗时：0.0800
2023-05-27 23:21:55 - INFO - Episode 119, total score=238, average score=567.42, exploration_rate=0.9636, 每步耗时：0.0001, 训练耗时：0.0812
2023-05-27 23:22:01 - INFO - Episode 120, total score=202, average score=564.38, exploration_rate=0.9635, 每步耗时：0.0001, 训练耗时：0.0799
2023-05-27 23:24:21 - INFO - Episode 121, total score=836, average score=566.62, exploration_rate=0.9620, 每步耗时：0.0001, 训练耗时：0.0802
2023-05-27 23:24:24 - INFO - Episode 122, total score=240, average score=563.94, exploration_rate=0.9620, 每步耗时：0.0001, 训练耗时：0.0807
2023-05-27 23:24:49 - INFO - Episode 123, total score=790, average score=565.78, exploration_rate=0.9617, 每步耗时：0.0001, 训练耗时：0.0807
2023-05-27 23:25:24 - INFO - Episode 124, total score=766, average score=567.40, exploration_rate=0.9613, 每步耗时：0.0001, 训练耗时：0.0803
2023-05-27 23:26:56 - INFO - Episode 125, total score=549, average score=567.25, exploration_rate=0.9604, 每步耗时：0.0001, 训练耗时：0.0804
2023-05-27 23:27:44 - INFO - Episode 126, total score=738, average score=568.60, exploration_rate=0.9599, 每步耗时：0.0001, 训练耗时：0.0799
